FIPS	year	state	state2	county	income	population	LND010200D	region	totalvotes	candidate.democrat	candidate.republican	candidatevotes.democrat	candidatevotes.republican
13163	2016	Georgia	GA	Jefferson	31901	15755	529.56	south	6968	Hillary Clinton	Donald Trump	3821	3063
13163	2020	Georgia	GA	Jefferson County	NA	NA	529.56	south	7639	Joshep Biden	Donald Trump	4058	3537
13165	2000	Georgia	GA	Jenkins	18528	8584	352.45	south	2593	Al Gore	George W. Bush	1250	1317
13165	2004	Georgia	GA	Jenkins	20478	8490	352.45	south	3403	John Kerry	George W. Bush	1494	1898
13165	2008	Georgia	GA	Jenkins	25663	8340	352.45	south	3440	Barack Obama	John McCain	1482	1936
13165	2012	Georgia	GA	Jenkins	24867	9108	352.45	south	3390	Barack Obama	Mitt Romney	1488	1887
13165	2016	Georgia	GA	Jenkins	29274	8812	352.45	south	3056	Hillary Clinton	Donald Trump	1123	1895
13165	2020	Georgia	GA	Jenkins County	NA	NA	352.45	south	3455	Joshep Biden	Donald Trump	1266	2161
13167	2000	Georgia	GA	Johnson	18674	8567	306.52	south	2883	Al Gore	George W. Bush	1065	1797
13167	2004	Georgia	GA	Johnson	18798	9613	306.52	south	3553	John Kerry	George W. Bush	1263	2279
13167	2008	Georgia	GA	Johnson	19717	10127	306.52	south	3647	Barack Obama	John McCain	1198	2426
13167	2012	Georgia	GA	Johnson	21684	10004	306.52	south	3772	Barack Obama	Mitt Romney	1305	2440
13167	2016	Georgia	GA	Johnson	24140	9660	306.52	south	3686	Hillary Clinton	Donald Trump	1136	2519
13167	2020	Georgia	GA	Johnson County	NA	NA	306.52	south	4100	Joshep Biden	Donald Trump	1222	2850
13169	2000	Georgia	GA	Jones	23981	23762	395.39	south	8068	Al Gore	George W. Bush	3102	4850
13169	2004	Georgia	GA	Jones	26000	26537	395.39	south	10845	John Kerry	George W. Bush	3855	6939
13169	2008	Georgia	GA	Jones	29150	28552	395.39	south	12438	Barack Obama	John McCain	4572	7782
13169	2012	Georgia	GA	Jones	31634	28624	395.39	south	12105	Barack Obama	Mitt Romney	4274	7744
13169	2016	Georgia	GA	Jones	34925	28574	395.39	south	12551	Hillary Clinton	Donald Trump	3961	8305
13169	2020	Georgia	GA	Jones County	NA	NA	395.39	south	14934	Joshep Biden	Donald Trump	4882	9940
13171	2000	Georgia	GA	Lamar	21595	16024	185.79	south	5230	Al Gore	George W. Bush	2194	2912
13171	2004	Georgia	GA	Lamar	24316	16567	185.79	south	6494	John Kerry	George W. Bush	2432	4027
13171	2008	Georgia	GA	Lamar	26229	18025	185.79	south	7688	Barack Obama	John McCain	2752	4873
13171	2012	Georgia	GA	Lamar	29046	18030	185.79	south	7592	Barack Obama	Mitt Romney	2602	4899
13171	2016	Georgia	GA	Lamar	30874	18484	185.79	south	7612	Hillary Clinton	Donald Trump	2270	5190
13171	2020	Georgia	GA	Lamar County	NA	NA	185.79	south	9045	Joshep Biden	Donald Trump	2620	6331
13173	2000	Georgia	GA	Lanier	19105	7283	199.83	south	1904	Al Gore	George W. Bush	832	1048
13173	2004	Georgia	GA	Lanier	20648	7824	199.83	south	2584	John Kerry	George W. Bush	931	1641
13173	2008	Georgia	GA	Lanier	20685	9560	199.83	south	2873	Barack Obama	John McCain	1062	1787
13173	2012	Georgia	GA	Lanier	22916	10466	199.83	south	2972	Barack Obama	Mitt Romney	1114	1820
13173	2016	Georgia	GA	Lanier	24995	10430	199.83	south	2871	Hillary Clinton	Donald Trump	806	1984
13173	2020	Georgia	GA	Lanier County	NA	NA	199.83	south	3576	Joshep Biden	Donald Trump	1019	2509
13175	2000	Georgia	GA	Laurens	22579	44931	818.51	south	14036	Al Gore	George W. Bush	5724	8133
13175	2004	Georgia	GA	Laurens	25642	46329	818.51	south	17237	John Kerry	George W. Bush	6281	10883
13175	2008	Georgia	GA	Laurens	29544	48192	818.51	south	19937	Barack Obama	John McCain	7769	12052
13175	2012	Georgia	GA	Laurens	30680	47842	818.51	south	19604	Barack Obama	Mitt Romney	7513	11950
13175	2016	Georgia	GA	Laurens	35230	47279	818.51	south	19530	Hillary Clinton	Donald Trump	6752	12411
13175	2020	Georgia	GA	Laurens County	NA	NA	818.51	south	22731	Joshep Biden	Donald Trump	8074	14493
13177	2000	Georgia	GA	Lee	23784	24808	362.01	south	7884	Al Gore	George W. Bush	1936	5872
13177	2004	Georgia	GA	Lee	26728	25965	362.01	south	10413	John Kerry	George W. Bush	2182	8201
13177	2008	Georgia	GA	Lee	34256	28111	362.01	south	13087	Barack Obama	John McCain	3100	9925
13177	2012	Georgia	GA	Lee	40435	28708	362.01	south	13628	Barack Obama	Mitt Romney	3196	10314
13177	2016	Georgia	GA	Lee	43861	29184	362.01	south	14143	Hillary Clinton	Donald Trump	3170	10646
13177	2020	Georgia	GA	Lee County	NA	NA	362.01	south	16714	Joshep Biden	Donald Trump	4558	12007
13179	2000	Georgia	GA	Liberty	18334	61811	602.52	south	9972	Al Gore	George W. Bush	5347	4455
13179	2004	Georgia	GA	Liberty	23340	63254	602.52	south	12800	John Kerry	George W. Bush	6619	6131
13179	2008	Georgia	GA	Liberty	28189	62635	602.52	south	16376	Barack Obama	John McCain	10474	5828
13179	2012	Georgia	GA	Liberty	30062	64412	602.52	south	16170	Barack Obama	Mitt Romney	10457	5565
13179	2016	Georgia	GA	Liberty	33159	61473	602.52	south	16143	Hillary Clinton	Donald Trump	9556	6134
13179	2020	Georgia	GA	Liberty County	NA	NA	602.52	south	21394	Joshep Biden	Donald Trump	13104	7959
13181	2000	Georgia	GA	Lincoln	20128	8335	257.28	south	3103	Al Gore	George W. Bush	1275	1807
13181	2004	Georgia	GA	Lincoln	23640	8284	257.28	south	3657	John Kerry	George W. Bush	1337	2309
13181	2008	Georgia	GA	Lincoln	26148	8156	257.28	south	4416	Barack Obama	John McCain	1650	2731
13181	2012	Georgia	GA	Lincoln	31051	7764	257.28	south	4426	Barack Obama	Mitt Romney	1586	2807
13181	2016	Georgia	GA	Lincoln	34647	7855	257.28	south	4102	Hillary Clinton	Donald Trump	1273	2759
13181	2020	Georgia	GA	Lincoln County	NA	NA	257.28	south	4641	Joshep Biden	Donald Trump	1432	3173
13183	2000	Georgia	GA	Long	16223	10370	403.49	south	2314	Al Gore	George W. Bush	975	1320
13183	2004	Georgia	GA	Long	19066	11355	403.49	south	3036	John Kerry	George W. Bush	1033	1994
13183	2008	Georgia	GA	Long	21957	12744	403.49	south	3450	Barack Obama	John McCain	1288	2119
13183	2012	Georgia	GA	Long	27013	15994	403.49	south	3802	Barack Obama	Mitt Romney	1442	2306
13183	2016	Georgia	GA	Long	26089	18372	403.49	south	4117	Hillary Clinton	Donald Trump	1360	2626
13183	2020	Georgia	GA	Long County	NA	NA	403.49	south	5657	Joshep Biden	Donald Trump	2035	3527
13185	2000	Georgia	GA	Lowndes	22347	92206	510.63	south	25432	Al Gore	George W. Bush	10616	14462
13185	2004	Georgia	GA	Lowndes	26339	96510	510.63	south	31622	John Kerry	George W. Bush	12516	18981
13185	2008	Georgia	GA	Lowndes	29455	104918	510.63	south	39240	Barack Obama	John McCain	17651	21296
13185	2012	Georgia	GA	Lowndes	30599	114071	510.63	south	39137	Barack Obama	Mitt Romney	17470	21327
13185	2016	Georgia	GA	Lowndes	34935	114360	510.63	south	37805	Hillary Clinton	Donald Trump	15064	21635
13185	2020	Georgia	GA	Lowndes County	NA	NA	510.63	south	46355	Joshep Biden	Donald Trump	20116	25692
13187	2000	Georgia	GA	Lumpkin	22455	21251	284.87	south	6750	Al Gore	George W. Bush	2121	4427
13187	2004	Georgia	GA	Lumpkin	24269	24916	284.87	south	8855	John Kerry	George W. Bush	2091	6690
13187	2008	Georgia	GA	Lumpkin	27357	29128	284.87	south	11075	Barack Obama	John McCain	2586	8326
13187	2012	Georgia	GA	Lumpkin	29261	30686	284.87	south	10905	Barack Obama	Mitt Romney	2055	8647
13187	2016	Georgia	GA	Lumpkin	34730	31415	284.87	south	12425	Hillary Clinton	Donald Trump	2220	9619
13187	2020	Georgia	GA	Lumpkin County	NA	NA	284.87	south	15531	Joshep Biden	Donald Trump	3126	12163
13189	2000	Georgia	GA	McDuffie	23110	21269	266.3	south	6550	Al Gore	George W. Bush	2580	3926
13189	2004	Georgia	GA	McDuffie	27377	21256	266.3	south	7773	John Kerry	George W. Bush	2899	4846
13189	2008	Georgia	GA	McDuffie	28215	21790	266.3	south	9544	Barack Obama	John McCain	3989	5400
13189	2012	Georgia	GA	McDuffie	29922	21630	266.3	south	9592	Barack Obama	Mitt Romney	4044	5475
13189	2016	Georgia	GA	McDuffie	34033	21456	266.3	south	9268	Hillary Clinton	Donald Trump	3699	5432
13189	2020	Georgia	GA	McDuffie County	NA	NA	266.3	south	10455	Joshep Biden	Donald Trump	4168	6169
